underlying_symbol,quote_date,valuation_timestamp,underlying_price,expiration,vendor_dte,time_to_maturity,strike,option_type,bid,ask,last,volume,open_interest,vendor_iv,vendor_delta,vendor_gamma,vendor_vega,vendor_theta,vendor_rho,source_file,source_row
SPY,2020-09-03,2020-09-03T16:00:00-04:00,345.53,2020-09-23,20.0,0.0547945205479452,235.0,call,110.12,111.23,0.0,,,1.00779,0.91865,0.00021,0.09286,-0.14533,0.0156,spy_2020_2022.csv,429018
SPY,2020-09-03,2020-09-03T16:00:00-04:00,345.53,2020-09-23,20.0,0.0547945205479452,235.0,put,0.2,0.22,0.0,,,0.71442,-0.01028,0.00049,0.02202,-0.03588,-0.00223,spy_2020_2022.csv,429018
SPY,2020-09-03,2020-09-03T16:00:00-04:00,345.53,2020-09-23,20.0,0.0547945205479452,240.0,call,104.77,106.26,0.0,,,,1.0,0.0,0.0,0.0,0.0,spy_2020_2022.csv,429019
SPY,2020-09-03,2020-09-03T16:00:00-04:00,345.53,2020-09-23,20.0,0.0547945205479452,240.0,put,0.23,0.25,0.22,30,,0.69258,-0.01202,0.00058,0.02475,-0.03932,-0.00243,spy_2020_2022.csv,429019
SPY,2020-09-03,2020-09-03T16:00:00-04:00,345.53,2020-09-23,20.0,0.0547945205479452,245.0,call,100.13,101.28,0.0,,,0.88595,0.92346,0.00024,0.09102,-0.17459,0.01773,spy_2020_2022.csv,429020
SPY,2020-09-03,2020-09-03T16:00:00-04:00,345.53,2020-09-23,20.0,0.0547945205479452,245.0,put,0.26,0.28,0.25,58,,0.67007,-0.01296,0.00061,0.02815,-0.04411,-0.00256,spy_2020_2022.csv,429020
SPY,2020-09-03,2020-09-03T16:00:00-04:00,345.53,2020-09-23,20.0,0.0547945205479452,250.0,call,94.85,96.31,0.0,,,0.81338,0.92599,0.00021,0.08811,-0.05034,0.01391,spy_2020_2022.csv,429021
SPY,2020-09-03,2020-09-03T16:00:00-04:00,345.53,2020-09-23,20.0,0.0547945205479452,250.0,put,0.3,0.33,0.36,30,,0.64966,-0.01616,0.00079,0.03262,-0.04894,-0.00298,spy_2020_2022.csv,429021
SPY,2020-09-03,2020-09-03T16:00:00-04:00,345.53,2020-09-23,20.0,0.0547945205479452,255.0,call,90.09,91.58,0.0,,,0.78583,0.92629,0.00046,0.0917,-0.16645,0.02389,spy_2020_2022.csv,429022
SPY,2020-09-03,2020-09-03T16:00:00-04:00,345.53,2020-09-23,20.0,0.0547945205479452,255.0,put,0.35,0.38,0.2,2,,0.62752,-0.01837,0.00084,0.03752,-0.05367,-0.00362,spy_2020_2022.csv,429022
SPY,2020-09-03,2020-09-03T16:00:00-04:00,345.53,2020-09-23,20.0,0.0547945205479452,260.0,call,85.41,86.39,0.0,,,0.73869,0.9281,0.00054,0.09196,-0.15639,0.02781,spy_2020_2022.csv,429023
SPY,2020-09-03,2020-09-03T16:00:00-04:00,345.53,2020-09-23,20.0,0.0547945205479452,260.0,put,0.4,0.42,0.51,11,,0.60372,-0.02106,0.00103,0.04191,-0.05821,-0.00406,spy_2020_2022.csv,429023
SPY,2020-09-03,2020-09-03T16:00:00-04:00,345.53,2020-09-23,20.0,0.0547945205479452,265.0,call,80.31,81.44,0.0,,,0.6838,0.92994,0.00064,0.09078,-0.14282,0.02886,spy_2020_2022.csv,429024
SPY,2020-09-03,2020-09-03T16:00:00-04:00,345.53,2020-09-23,20.0,0.0547945205479452,265.0,put,0.47,0.49,0.23,3,,0.5834,-0.02477,0.00126,0.0487,-0.066,-0.00502,spy_2020_2022.csv,429024
SPY,2020-09-03,2020-09-03T16:00:00-04:00,345.53,2020-09-23,20.0,0.0547945205479452,270.0,call,75.5,76.26,0.0,,,0.63508,0.9319,0.00071,0.09119,-0.13114,0.03097,spy_2020_2022.csv,429025
SPY,2020-09-03,2020-09-03T16:00:00-04:00,345.53,2020-09-23,20.0,0.0547945205479452,270.0,put,0.53,0.56,0.37,1,,0.5601,-0.02856,0.00144,0.05439,-0.07152,-0.00648,spy_2020_2022.csv,429025
SPY,2020-09-03,2020-09-03T16:00:00-04:00,345.53,2020-09-23,20.0,0.0547945205479452,275.0,call,70.76,71.81,0.0,,,0.62987,0.9256,0.00131,0.10188,-0.1443,0.04896,spy_2020_2022.csv,429026
SPY,2020-09-03,2020-09-03T16:00:00-04:00,345.53,2020-09-23,20.0,0.0547945205479452,275.0,put,0.61,0.64,0.42,4,,0.53837,-0.03355,0.00169,0.0624,-0.07886,-0.00663,spy_2020_2022.csv,429026
SPY,2020-09-03,2020-09-03T16:00:00-04:00,345.53,2020-09-23,20.0,0.0547945205479452,280.0,call,65.5,66.42,0.0,,,0.54904,0.93338,0.00121,0.09253,-0.11339,0.03957,spy_2020_2022.csv,429027
SPY,2020-09-03,2020-09-03T16:00:00-04:00,345.53,2020-09-23,20.0,0.0547945205479452,280.0,put,0.72,0.74,0.61,4,,0.5171,-0.03989,0.00206,0.07141,-0.08622,-0.00799,spy_2020_2022.csv,429027
