underlying_symbol,quote_date,valuation_timestamp,underlying_price,expiration,vendor_dte,time_to_maturity,strike,option_type,bid,ask,last,volume,open_interest,vendor_iv,vendor_delta,vendor_gamma,vendor_vega,vendor_theta,vendor_rho,source_file,source_row
SPY,2021-05-20,2021-05-20T16:00:00-04:00,415.1,2021-06-09,20.0,0.0547945205479452,280.0,call,134.77,135.74,0.0,,,1.02458,0.91629,4e-05,0.11308,-0.15548,0.01749,spy_2020_2022.csv,2937015
SPY,2021-05-20,2021-05-20T16:00:00-04:00,415.1,2021-06-09,20.0,0.0547945205479452,280.0,put,0.04,0.05,0.09,0,,0.59826,-0.0026,0.00014,0.00796,-0.01035,-0.00108,spy_2020_2022.csv,2937015
SPY,2021-05-20,2021-05-20T16:00:00-04:00,415.1,2021-06-09,20.0,0.0547945205479452,285.0,call,129.78,130.75,0.0,,,0.97176,0.91863,7e-05,0.11185,-0.16525,0.01868,spy_2020_2022.csv,2937016
SPY,2021-05-20,2021-05-20T16:00:00-04:00,415.1,2021-06-09,20.0,0.0547945205479452,285.0,put,0.05,0.06,0.1,0,,0.58526,-0.00346,0.00013,0.00914,-0.01143,-0.00038,spy_2020_2022.csv,2937016
SPY,2021-05-20,2021-05-20T16:00:00-04:00,415.1,2021-06-09,20.0,0.0547945205479452,290.0,call,125.08,125.42,0.0,,,0.91736,0.92079,8e-05,0.11169,-0.15002,0.01855,spy_2020_2022.csv,2937017
SPY,2021-05-20,2021-05-20T16:00:00-04:00,415.1,2021-06-09,20.0,0.0547945205479452,290.0,put,0.05,0.06,0.05,7,,0.56065,-0.0034,0.00018,0.00988,-0.01149,-0.00034,spy_2020_2022.csv,2937017
SPY,2021-05-20,2021-05-20T16:00:00-04:00,415.1,2021-06-09,20.0,0.0547945205479452,295.0,call,119.79,120.78,0.0,,,0.87015,0.9223,0.00015,0.11141,-0.1849,0.01969,spy_2020_2022.csv,2937018
SPY,2021-05-20,2021-05-20T16:00:00-04:00,415.1,2021-06-09,20.0,0.0547945205479452,295.0,put,0.06,0.08,0.11,0,,0.54962,-0.00426,0.00027,0.01153,-0.01481,-0.00069,spy_2020_2022.csv,2937018
SPY,2021-05-20,2021-05-20T16:00:00-04:00,415.1,2021-06-09,20.0,0.0547945205479452,300.0,call,114.8,115.79,0.0,,,0.82231,0.92387,0.00011,0.11054,-0.1946,0.02107,spy_2020_2022.csv,2937019
SPY,2021-05-20,2021-05-20T16:00:00-04:00,415.1,2021-06-09,20.0,0.0547945205479452,300.0,put,0.08,0.09,0.07,25,,0.53667,-0.00458,0.00022,0.01355,-0.01722,-0.00165,spy_2020_2022.csv,2937019
SPY,2021-05-20,2021-05-20T16:00:00-04:00,415.1,2021-06-09,20.0,0.0547945205479452,305.0,call,109.81,110.81,0.0,,,0.77685,0.92587,0.00022,0.11056,-0.20092,0.02244,spy_2020_2022.csv,2937020
SPY,2021-05-20,2021-05-20T16:00:00-04:00,415.1,2021-06-09,20.0,0.0547945205479452,305.0,put,0.09,0.1,0.09,1,,0.51865,-0.00532,0.00036,0.01578,-0.01868,-0.00168,spy_2020_2022.csv,2937020
SPY,2021-05-20,2021-05-20T16:00:00-04:00,415.1,2021-06-09,20.0,0.0547945205479452,310.0,call,104.82,105.83,0.0,,,0.73289,0.92673,0.00019,0.10921,-0.18866,0.02296,spy_2020_2022.csv,2937021
SPY,2021-05-20,2021-05-20T16:00:00-04:00,415.1,2021-06-09,20.0,0.0547945205479452,310.0,put,0.1,0.11,0.09,25,,0.49967,-0.00596,0.00035,0.01768,-0.01976,-0.00182,spy_2020_2022.csv,2937021
SPY,2021-05-20,2021-05-20T16:00:00-04:00,415.1,2021-06-09,20.0,0.0547945205479452,315.0,call,100.11,100.48,0.0,,,0.68518,0.9286,0.00024,0.10803,-0.17472,0.0231,spy_2020_2022.csv,2937022
SPY,2021-05-20,2021-05-20T16:00:00-04:00,415.1,2021-06-09,20.0,0.0547945205479452,315.0,put,0.11,0.12,0.2,0,,0.47996,-0.00742,0.00041,0.01968,-0.02148,-0.0017,spy_2020_2022.csv,2937022
SPY,2021-05-20,2021-05-20T16:00:00-04:00,415.1,2021-06-09,20.0,0.0547945205479452,320.0,call,95.1,95.5,0.0,,,0.64285,0.93099,0.00023,0.10776,-0.16233,0.02403,spy_2020_2022.csv,2937023
SPY,2021-05-20,2021-05-20T16:00:00-04:00,415.1,2021-06-09,20.0,0.0547945205479452,320.0,put,0.12,0.13,0.26,0,,0.46059,-0.0079,0.00052,0.02162,-0.02239,-0.00197,spy_2020_2022.csv,2937023
SPY,2021-05-20,2021-05-20T16:00:00-04:00,415.1,2021-06-09,20.0,0.0547945205479452,325.0,call,90.15,90.52,0.0,,,0.60533,0.93155,0.00031,0.10704,-0.15211,0.02771,spy_2020_2022.csv,2937024
SPY,2021-05-20,2021-05-20T16:00:00-04:00,415.1,2021-06-09,20.0,0.0547945205479452,325.0,put,0.14,0.15,0.33,0,,0.44372,-0.00941,0.00054,0.02473,-0.02491,-0.0023,spy_2020_2022.csv,2937024
SPY,2021-05-20,2021-05-20T16:00:00-04:00,415.1,2021-06-09,20.0,0.0547945205479452,330.0,call,85.1,85.55,0.0,,,0.56405,0.93384,0.00041,0.10687,-0.14056,0.02815,spy_2020_2022.csv,2937025
SPY,2021-05-20,2021-05-20T16:00:00-04:00,415.1,2021-06-09,20.0,0.0547945205479452,330.0,put,0.16,0.17,0.21,33,,0.42701,-0.01062,0.00065,0.02879,-0.02764,-0.00317,spy_2020_2022.csv,2937025
SPY,2021-05-20,2021-05-20T16:00:00-04:00,415.1,2021-06-09,20.0,0.0547945205479452,335.0,call,80.17,80.56,0.0,,,0.52927,0.93459,0.00052,0.1064,-0.13161,0.03227,spy_2020_2022.csv,2937026
SPY,2021-05-20,2021-05-20T16:00:00-04:00,415.1,2021-06-09,20.0,0.0547945205479452,335.0,put,0.19,0.2,0.18,166,,0.41129,-0.01329,0.00079,0.03396,-0.0319,-0.00344,spy_2020_2022.csv,2937026
SPY,2021-05-20,2021-05-20T16:00:00-04:00,415.1,2021-06-09,20.0,0.0547945205479452,340.0,call,75.2,75.59,0.0,,,0.49361,0.93616,0.00061,0.10684,-0.1228,0.03698,spy_2020_2022.csv,2937027
SPY,2021-05-20,2021-05-20T16:00:00-04:00,415.1,2021-06-09,20.0,0.0547945205479452,340.0,put,0.21,0.22,0.38,0,,0.39154,-0.01542,0.00094,0.03759,-0.03419,-0.00349,spy_2020_2022.csv,2937027
SPY,2021-05-20,2021-05-20T16:00:00-04:00,415.1,2021-06-09,20.0,0.0547945205479452,345.0,call,70.21,70.62,0.0,,,0.4589,0.93671,0.00078,0.10661,-0.11359,0.04095,spy_2020_2022.csv,2937028
SPY,2021-05-20,2021-05-20T16:00:00-04:00,415.1,2021-06-09,20.0,0.0547945205479452,345.0,put,0.25,0.26,0.22,2,,0.37629,-0.0178,0.00124,0.04436,-0.03865,-0.00455,spy_2020_2022.csv,2937028
SPY,2021-05-20,2021-05-20T16:00:00-04:00,415.1,2021-06-09,20.0,0.0547945205479452,350.0,call,65.27,65.66,59.55,0,,0.42865,0.93705,0.00105,0.10817,-0.1069,0.04775,spy_2020_2022.csv,2937029
SPY,2021-05-20,2021-05-20T16:00:00-04:00,415.1,2021-06-09,20.0,0.0547945205479452,350.0,put,0.29,0.29,0.27,21,,0.35785,-0.02088,0.00148,0.05131,-0.04171,-0.00491,spy_2020_2022.csv,2937029
SPY,2021-05-20,2021-05-20T16:00:00-04:00,415.1,2021-06-09,20.0,0.0547945205479452,355.0,call,60.0,61.14,0.0,,,0.40299,0.93594,0.00147,0.11262,-0.10365,0.05905,spy_2020_2022.csv,2937030
SPY,2021-05-20,2021-05-20T16:00:00-04:00,415.1,2021-06-09,20.0,0.0547945205479452,355.0,put,0.33,0.35,0.32,10,,0.3411,-0.02548,0.00172,0.05911,-0.04705,-0.00617,spy_2020_2022.csv,2937030
SPY,2021-05-20,2021-05-20T16:00:00-04:00,415.1,2021-06-09,20.0,0.0547945205479452,360.0,call,55.39,55.78,0.0,,,0.37131,0.93493,0.00171,0.11469,-0.09688,0.06552,spy_2020_2022.csv,2937031
SPY,2021-05-20,2021-05-20T16:00:00-04:00,415.1,2021-06-09,20.0,0.0547945205479452,360.0,put,0.39,0.4,1.06,0,,0.32291,-0.03049,0.00212,0.06912,-0.05172,-0.00792,spy_2020_2022.csv,2937031
SPY,2021-05-20,2021-05-20T16:00:00-04:00,415.1,2021-06-09,20.0,0.0547945205479452,365.0,call,50.46,50.85,43.25,0,,0.34451,0.93322,0.00228,0.12012,-0.09349,0.07555,spy_2020_2022.csv,2937032
SPY,2021-05-20,2021-05-20T16:00:00-04:00,415.1,2021-06-09,20.0,0.0547945205479452,365.0,put,0.47,0.49,0.47,1,,0.30825,-0.03788,0.0027,0.08207,-0.05909,-0.00971,spy_2020_2022.csv,2937032
