Underlying Symbol,Expiration,Strike,Option Type,Quote Datetime,Exercise Style,Contract Multiplier,Currency,Bid,Ask,Bid Size,Ask Size,Session Volume,Open Interest,Open Interest Date,Active Underlying Price,Underlying Bid,Underlying Ask
AAPL,2026-08-21,90,C,2026-07-30T14:30:00Z,European,100,USD,11.90,12.10,20,22,150,700,2026-07-29,100.00,99.98,100.02
AAPL,2026-08-21,90,P,2026-07-30T14:30:00Z,European,100,USD,1.90,2.10,18,20,120,650,2026-07-29,100.00,99.98,100.02
AAPL,2026-08-21,95,C,2026-07-30T14:30:00Z,European,100,USD,,9.10,14,16,90,400,2026-07-29,100.00,99.98,100.02
AAPL,2026-08-21,95,P,2026-07-30T14:30:00Z,European,100,USD,3.30,3.50,15,15,80,390,2026-07-29,100.00,99.98,100.02
AAPL,2026-08-21,100,C,2026-07-30T14:30:00Z,European,100,USD,13.90,14.10,30,28,220,850,2026-07-29,100.00,99.98,100.02
AAPL,2026-08-21,100,P,2026-07-30T14:30:00Z,European,100,USD,5.90,6.10,25,24,180,820,2026-07-29,100.00,99.98,100.02
AAPL,2026-08-21,105,C,2026-07-30T14:30:00Z,European,100,USD,5.40,5.60,18,18,130,500,2026-07-29,100.00,99.98,100.02
AAPL,2026-08-21,105,P,2026-07-30T14:30:00Z,European,100,USD,7.20,6.90,16,14,95,470,2026-07-29,100.00,99.98,100.02
AAPL,2026-08-21,110,C,2026-07-30T14:30:00Z,European,100,USD,8.90,9.10,26,27,200,760,2026-07-29,100.00,99.98,100.02
AAPL,2026-08-21,110,P,2026-07-30T14:30:00Z,European,100,USD,11.40,11.60,19,18,140,620,2026-07-29,100.00,99.98,100.02
AAPL,2026-08-21,115,C,2026-07-30T14:30:00Z,European,100,USD,1.00,1.00,11,11,50,210,2026-07-29,100.00,99.98,100.02
AAPL,2026-08-21,115,P,2026-07-30T14:30:00Z,European,100,USD,15.80,16.20,12,12,70,230,2026-07-29,100.00,99.98,100.02
AAPL,2026-09-18,85,C,2026-07-30T14:30:00Z,European,100,USD,16.80,17.20,10,10,40,0,2026-07-29,100.00,99.98,100.02
AAPL,2026-09-18,85,P,2026-07-30T14:30:00Z,European,100,USD,2.50,2.80,9,9,35,120,2026-07-29,100.00,99.98,100.02
AAPL,2026-09-18,100,C,2026-07-30T14:30:00Z,European,100,USD,7.80,8.20,15,15,110,500,2026-07-29,100.00,99.98,100.02
AAPL,2026-09-18,100,P,2026-07-30T14:30:00Z,European,100,USD,7.40,7.80,13,13,105,480,2026-07-29,100.00,99.98,100.02
AAPL,2026-09-18,120,C,2026-07-30T14:30:00Z,European,100,USD,0.10,5.00,5,5,12,80,2026-07-29,100.00,99.98,100.02
AAPL,2026-09-18,120,P,2026-07-30T14:30:00Z,European,100,USD,20.50,21.10,8,8,55,240,2026-07-29,100.00,99.98,100.02
