crossed_market_rows,expiries,maximum_spot,minimum_spot,quote_date,raw_rows,strikes,underlying
1,17,300.35,300.35,2020-01-02T00:00:00,1019,102,AAPL
3,17,297.43,297.43,2020-01-03T00:00:00,1019,102,AAPL
1,16,299.8,299.8,2020-01-06T00:00:00,967,102,AAPL
3,16,298.39,298.39,2020-01-07T00:00:00,975,102,AAPL
2,17,303.19,303.19,2020-01-08T00:00:00,999,102,AAPL
3,18,309.63,309.63,2020-01-09T00:00:00,1058,104,AAPL
0,18,310.33,310.33,2020-01-10T00:00:00,1062,108,AAPL
0,17,316.96,316.96,2020-01-13T00:00:00,1030,113,AAPL
2,17,312.68,312.68,2020-01-14T00:00:00,1030,113,AAPL
0,17,311.5,311.5,2020-01-15T00:00:00,1030,113,AAPL
3,17,315.24,315.24,2020-01-16T00:00:00,1030,113,AAPL
0,17,318.73,318.73,2020-01-17T00:00:00,1040,113,AAPL
1,16,316.57,316.57,2020-01-21T00:00:00,976,110,AAPL
0,16,317.7,317.7,2020-01-22T00:00:00,986,111,AAPL
1,17,319.29,319.29,2020-01-23T00:00:00,1024,111,AAPL
3,17,318.33,318.33,2020-01-24T00:00:00,1042,111,AAPL
2,16,308.97,308.97,2020-01-27T00:00:00,974,111,AAPL
2,16,317.69,317.69,2020-01-28T00:00:00,974,111,AAPL
5,16,324.34,324.34,2020-01-29T00:00:00,974,111,AAPL
1,17,323.87,323.87,2020-01-30T00:00:00,1014,111,AAPL
3,18,309.33,309.33,2020-01-31T00:00:00,1051,111,AAPL
0,17,308.72,308.72,2020-02-03T00:00:00,979,105,AAPL
1,17,318.85,318.85,2020-02-04T00:00:00,995,105,AAPL
2,17,321.45,321.45,2020-02-05T00:00:00,995,105,AAPL
1,18,325.21,325.21,2020-02-06T00:00:00,1040,105,AAPL
0,18,320.03,320.03,2020-02-07T00:00:00,1060,105,AAPL
2,17,321.55,321.55,2020-02-10T00:00:00,994,105,AAPL
1,17,319.61,319.61,2020-02-11T00:00:00,997,105,AAPL
4,17,327.2,327.2,2020-02-12T00:00:00,997,105,AAPL
1,19,324.87,324.87,2020-02-13T00:00:00,1069,105,AAPL
0,19,324.95,324.95,2020-02-14T00:00:00,1086,105,AAPL
3,18,319.0,319.0,2020-02-18T00:00:00,1039,108,AAPL
1,18,323.62,323.62,2020-02-19T00:00:00,1039,108,AAPL
1,18,320.3,320.3,2020-02-20T00:00:00,1039,108,AAPL
1,18,313.05,313.05,2020-02-21T00:00:00,1039,108,AAPL
2,18,298.18,298.18,2020-02-24T00:00:00,1010,108,AAPL
0,18,288.08,288.08,2020-02-25T00:00:00,1054,111,AAPL
2,18,292.69,292.69,2020-02-26T00:00:00,1054,111,AAPL
0,19,273.04,273.04,2020-02-27T00:00:00,1096,111,AAPL
1,19,274.54,274.54,2020-02-28T00:00:00,1096,111,AAPL
0,18,298.81,298.81,2020-03-02T00:00:00,1111,111,AAPL
0,18,289.17,289.17,2020-03-03T00:00:00,1111,111,AAPL
0,18,302.65,302.65,2020-03-04T00:00:00,1111,111,AAPL
1,19,292.92,292.92,2020-03-05T00:00:00,1146,111,AAPL
0,19,289.06,289.06,2020-03-06T00:00:00,1179,111,AAPL
0,18,266.57,266.57,2020-03-09T00:00:00,1125,111,AAPL
0,18,285.68,285.68,2020-03-10T00:00:00,1125,111,AAPL
0,18,275.43,275.43,2020-03-11T00:00:00,1125,111,AAPL
1,19,248.23,248.23,2020-03-12T00:00:00,1169,114,AAPL
0,19,278.06,278.06,2020-03-13T00:00:00,1209,114,AAPL
1,18,241.47,241.47,2020-03-16T00:00:00,1153,113,AAPL
2,18,252.81,252.81,2020-03-17T00:00:00,1163,113,AAPL
0,18,249.0,249.0,2020-03-18T00:00:00,1163,113,AAPL
0,18,244.77,244.77,2020-03-19T00:00:00,1173,113,AAPL
0,18,228.73,228.73,2020-03-20T00:00:00,1173,113,AAPL
1,17,223.97,223.97,2020-03-23T00:00:00,1097,113,AAPL
0,17,246.6,246.6,2020-03-24T00:00:00,1122,113,AAPL
1,17,245.52,245.52,2020-03-25T00:00:00,1123,114,AAPL
0,18,258.46,258.46,2020-03-26T00:00:00,1169,115,AAPL
0,18,247.74,247.74,2020-03-27T00:00:00,1188,115,AAPL
0,17,254.75,254.75,2020-03-30T00:00:00,1109,115,AAPL
3,17,253.89,253.89,2020-03-31T00:00:00,1115,115,AAPL
0,17,240.82,240.82,2020-04-01T00:00:00,1115,115,AAPL
1,18,244.93,244.93,2020-04-02T00:00:00,1168,118,AAPL
0,18,241.41,241.41,2020-04-03T00:00:00,1181,118,AAPL
1,17,262.47,262.47,2020-04-06T00:00:00,1099,113,AAPL
1,17,259.43,259.43,2020-04-07T00:00:00,1099,113,AAPL
1,17,266.04,266.04,2020-04-08T00:00:00,1099,113,AAPL
0,18,267.99,267.99,2020-04-09T00:00:00,1147,113,AAPL
3,17,273.25,273.25,2020-04-13T00:00:00,1072,113,AAPL
1,17,287.05,287.05,2020-04-14T00:00:00,1086,113,AAPL
2,17,284.43,284.43,2020-04-15T00:00:00,1098,113,AAPL
0,17,286.69,286.69,2020-04-16T00:00:00,1109,113,AAPL
0,17,282.8,282.8,2020-04-17T00:00:00,1109,113,AAPL
1,16,276.93,276.93,2020-04-20T00:00:00,1023,113,AAPL
1,16,268.37,268.37,2020-04-21T00:00:00,1032,113,AAPL
0,16,276.1,276.1,2020-04-22T00:00:00,1036,113,AAPL
1,17,275.03,275.03,2020-04-23T00:00:00,1075,113,AAPL
0,17,282.97,282.97,2020-04-24T00:00:00,1089,113,AAPL
1,16,283.04,283.04,2020-04-27T00:00:00,1015,108,AAPL
2,16,278.58,278.58,2020-04-28T00:00:00,1015,108,AAPL
0,16,287.73,287.73,2020-04-29T00:00:00,1015,108,AAPL
0,17,293.95,293.95,2020-04-30T00:00:00,1054,108,AAPL
0,17,289.07,289.07,2020-05-01T00:00:00,1096,111,AAPL
0,16,293.16,293.16,2020-05-04T00:00:00,1023,111,AAPL
0,16,297.56,297.56,2020-05-05T00:00:00,1031,111,AAPL
0,16,300.63,300.63,2020-05-06T00:00:00,1035,111,AAPL
2,17,303.74,303.74,2020-05-07T00:00:00,1076,111,AAPL
1,17,310.13,310.13,2020-05-08T00:00:00,1086,111,AAPL
1,16,315.01,315.01,2020-05-11T00:00:00,1020,111,AAPL
2,16,311.41,311.41,2020-05-12T00:00:00,1020,111,AAPL
0,16,307.65,307.65,2020-05-13T00:00:00,1024,111,AAPL
1,16,309.54,309.54,2020-05-14T00:00:00,1039,111,AAPL
1,16,307.69,307.69,2020-05-15T00:00:00,1039,111,AAPL
0,15,314.96,314.96,2020-05-18T00:00:00,978,111,AAPL
0,15,313.01,313.01,2020-05-19T00:00:00,978,111,AAPL
0,16,319.16,319.16,2020-05-20T00:00:00,1033,111,AAPL
0,17,317.09,317.09,2020-05-21T00:00:00,1102,116,AAPL
