change_observations,crosses_split,first_date,last_date,observations,target_tenor,underlying
716,1,2020-01-02T00:00:00,2022-12-30T00:00:00,722,150,AAPL
755,1,2020-01-02T00:00:00,2022-12-30T00:00:00,757,21,AAPL
755,1,2020-01-02T00:00:00,2022-12-30T00:00:00,757,45,AAPL
672,1,2020-01-02T00:00:00,2022-12-30T00:00:00,677,90,AAPL
626,1,2020-01-02T00:00:00,2022-12-30T00:00:00,634,150,NVDA
754,1,2020-01-02T00:00:00,2022-12-30T00:00:00,756,21,NVDA
754,1,2020-01-02T00:00:00,2022-12-30T00:00:00,756,45,NVDA
623,1,2020-01-02T00:00:00,2022-12-30T00:00:00,634,90,NVDA
426,0,2021-01-04T00:00:00,2022-12-30T00:00:00,431,150,QQQ
507,0,2021-01-04T00:00:00,2022-12-30T00:00:00,508,21,QQQ
507,0,2021-01-04T00:00:00,2022-12-30T00:00:00,508,45,QQQ
487,0,2021-01-04T00:00:00,2022-12-30T00:00:00,488,90,QQQ
738,0,2020-01-02T00:00:00,2022-12-30T00:00:00,741,150,SPY
757,0,2020-01-02T00:00:00,2022-12-30T00:00:00,758,21,SPY
757,0,2020-01-02T00:00:00,2022-12-30T00:00:00,758,45,SPY
721,0,2020-01-02T00:00:00,2022-12-30T00:00:00,722,90,SPY
707,2,2020-01-02T00:00:00,2022-12-30T00:00:00,713,150,TSLA
755,2,2020-01-02T00:00:00,2022-12-30T00:00:00,758,21,TSLA
754,2,2020-01-02T00:00:00,2022-12-30T00:00:00,757,45,TSLA
682,2,2020-01-02T00:00:00,2022-12-30T00:00:00,688,90,TSLA
