raw_count,reason,remaining_count,stage,underlying
2913,remaining,2913,nearest_tenor_observations,AAPL
768574,remaining,768574,raw_rows,AAPL
7537,remaining,7537,successful_atm_metrics,AAPL
434657,remaining,434657,valid_vendor_iv_points,AAPL
2780,remaining,2780,nearest_tenor_observations,NVDA
1048761,remaining,1048761,raw_rows,NVDA
7144,remaining,7144,successful_atm_metrics,NVDA
622589,remaining,622589,valid_vendor_iv_points,NVDA
1935,remaining,1935,nearest_tenor_observations,QQQ
1775749,remaining,1775749,raw_rows,QQQ
9206,remaining,9206,successful_atm_metrics,QQQ
1115812,remaining,1115812,valid_vendor_iv_points,QQQ
2979,remaining,2979,nearest_tenor_observations,SPY
3589079,remaining,3589079,raw_rows,SPY
15450,remaining,15450,successful_atm_metrics,SPY
2171755,remaining,2171755,valid_vendor_iv_points,SPY
2916,remaining,2916,nearest_tenor_observations,TSLA
2319764,remaining,2319764,raw_rows,TSLA
7491,remaining,7491,successful_atm_metrics,TSLA
1266610,remaining,1266610,valid_vendor_iv_points,TSLA
