crossed_market_rows,expiries,maximum_spot,minimum_spot,missing_quote_rows,quote_date,raw_rows,strikes
32.0,37,324.87,324.87,3.0,2020-01-02T00:00:00,3674,303
31.0,38,322.43,322.43,3.0,2020-01-03T00:00:00,3735,303
31.0,37,323.68,323.68,0.0,2020-01-06T00:00:00,3638,305
21.0,37,322.74,322.74,0.0,2020-01-07T00:00:00,3615,305
23.0,37,324.39,324.39,0.0,2020-01-08T00:00:00,3684,305
44.0,37,326.59,326.59,0.0,2020-01-09T00:00:00,3717,306
42.0,38,325.64,325.64,0.0,2020-01-10T00:00:00,3897,306
47.0,37,327.92,327.92,0.0,2020-01-13T00:00:00,3885,307
40.0,37,327.42,327.42,0.0,2020-01-14T00:00:00,3851,307
41.0,37,328.16,328.16,0.0,2020-01-15T00:00:00,3864,307
32.0,36,330.86,330.86,0.0,2020-01-16T00:00:00,3797,307
26.0,37,332.01,332.01,0.0,2020-01-17T00:00:00,3898,349
37.0,37,331.29,331.29,0.0,2020-01-21T00:00:00,3778,353
34.0,37,331.35,331.35,0.0,2020-01-22T00:00:00,3801,353
33.0,37,331.8,331.8,0.0,2020-01-23T00:00:00,3840,354
19.0,38,328.74,328.74,0.0,2020-01-24T00:00:00,3924,354
23.0,37,323.51,323.51,0.0,2020-01-27T00:00:00,3857,359
29.0,37,326.88,326.88,0.0,2020-01-28T00:00:00,3899,359
26.0,37,326.62,326.62,0.0,2020-01-29T00:00:00,3955,359
37.0,37,327.62,327.62,0.0,2020-01-30T00:00:00,3935,359
12.0,38,321.75,321.75,0.0,2020-01-31T00:00:00,4006,359
27.0,37,324.12,324.12,0.0,2020-02-03T00:00:00,3928,314
34.0,37,329.06,329.06,0.0,2020-02-04T00:00:00,3906,308
35.0,37,332.84,332.84,0.0,2020-02-05T00:00:00,3947,308
41.0,37,333.93,333.93,0.0,2020-02-06T00:00:00,3981,308
29.0,38,332.24,332.24,0.0,2020-02-07T00:00:00,4049,308
41.0,37,334.75,334.75,0.0,2020-02-10T00:00:00,4005,308
46.0,37,335.27,335.27,0.0,2020-02-11T00:00:00,4010,308
44.0,37,337.44,337.44,0.0,2020-02-12T00:00:00,4060,315
32.0,37,337.17,337.17,0.0,2020-02-13T00:00:00,4089,318
33.0,38,337.6,337.6,0.0,2020-02-14T00:00:00,4136,318
37.0,38,336.73,336.73,0.0,2020-02-18T00:00:00,4074,309
38.0,37,338.32,338.32,0.0,2020-02-19T00:00:00,4053,317
26.0,36,336.99,336.99,0.0,2020-02-20T00:00:00,4014,317
31.0,37,333.45,333.45,0.0,2020-02-21T00:00:00,4059,317
16.0,37,322.42,322.42,0.0,2020-02-24T00:00:00,3982,309
11.0,37,312.59,312.59,0.0,2020-02-25T00:00:00,4089,317
14.0,37,311.61,311.61,0.0,2020-02-26T00:00:00,4320,317
13.0,37,297.68,297.68,3.0,2020-02-27T00:00:00,4320,324
5.0,38,296.24,296.24,3.0,2020-02-28T00:00:00,4624,324
12.0,37,308.9,308.9,0.0,2020-03-02T00:00:00,4725,316
8.0,37,300.32,300.32,0.0,2020-03-03T00:00:00,4727,328
11.0,37,313.05,313.05,0.0,2020-03-04T00:00:00,4774,328
9.0,37,302.51,302.51,0.0,2020-03-05T00:00:00,4759,329
13.0,38,297.46,297.46,0.0,2020-03-06T00:00:00,4858,329
11.0,37,274.48,274.48,0.0,2020-03-09T00:00:00,4935,325
10.0,37,288.39,288.39,0.0,2020-03-10T00:00:00,5031,325
5.0,37,274.25,274.25,0.0,2020-03-11T00:00:00,5299,347
4.0,37,247.91,247.91,0.0,2020-03-12T00:00:00,5319,353
4.0,38,270.94,270.94,0.0,2020-03-13T00:00:00,5748,366
6.0,37,239.75,239.75,0.0,2020-03-16T00:00:00,5648,366
4.0,37,254.1,254.1,0.0,2020-03-17T00:00:00,5720,366
5.0,37,241.23,241.23,0.0,2020-03-18T00:00:00,5791,366
6.0,36,240.94,240.94,0.0,2020-03-19T00:00:00,5816,366
7.0,37,228.95,228.95,0.0,2020-03-20T00:00:00,5879,370
7.0,36,222.21,222.21,0.0,2020-03-23T00:00:00,5666,369
9.0,36,242.0,242.0,0.0,2020-03-24T00:00:00,5664,357
7.0,36,246.79,246.79,0.0,2020-03-25T00:00:00,5716,365
11.0,36,261.14,261.14,0.0,2020-03-26T00:00:00,5543,361
13.0,37,254.0,254.0,0.0,2020-03-27T00:00:00,5679,361
11.0,36,261.56,261.56,0.0,2020-03-30T00:00:00,5530,361
10.0,36,257.6,257.6,0.0,2020-03-31T00:00:00,5429,361
11.0,36,246.04,246.04,1.0,2020-04-01T00:00:00,5385,361
17.0,36,251.99,251.99,1.0,2020-04-02T00:00:00,5309,362
23.0,37,247.95,247.95,0.0,2020-04-03T00:00:00,5357,362
12.0,36,264.79,264.79,0.0,2020-04-06T00:00:00,5136,325
16.0,36,265.18,265.18,0.0,2020-04-07T00:00:00,5059,325
14.0,36,274.0,274.0,0.0,2020-04-08T00:00:00,5132,325
17.0,37,278.22,278.22,0.0,2020-04-09T00:00:00,5169,325
23.0,36,275.63,275.63,0.0,2020-04-13T00:00:00,5078,324
28.0,36,283.8,283.8,0.0,2020-04-14T00:00:00,5030,324
20.0,36,277.75,277.75,0.0,2020-04-15T00:00:00,5141,324
21.0,35,278.96,278.96,0.0,2020-04-16T00:00:00,5072,324
23.0,36,286.56,286.56,0.0,2020-04-17T00:00:00,5104,324
15.0,36,281.76,281.76,0.0,2020-04-20T00:00:00,4923,312
