metric,observation_count,specification,target_tenor,value
median_abs_atm_iv_change,2942,atm_method:LINEAR_TOTAL_VARIANCE,,0.008839224883537888
median_abs_atm_iv_change,25,atm_method:OBSERVED,,0.012760682462506945
median_abs_atm_iv_change,,fixed_expiration_selected_sample,,0.008524693016330354
median_abs_atm_iv_change,,nearest_tenor,150,0.00709043168164164
median_abs_relative_atm_iv_change,,nearest_tenor,150,0.03394435332434094
median_abs_relative_total_variance_change,,nearest_tenor,150,0.07123805264017746
median_abs_total_variance_change,,nearest_tenor,150,0.001299839899067057
median_abs_atm_iv_change,,nearest_tenor,21,0.011451748728528999
median_abs_relative_atm_iv_change,,nearest_tenor,21,0.059982407052577555
median_abs_relative_total_variance_change,,nearest_tenor,21,0.12343662443445504
median_abs_total_variance_change,,nearest_tenor,21,0.0002495104362165738
median_abs_atm_iv_change,,nearest_tenor,45,0.010209052079042852
median_abs_relative_atm_iv_change,,nearest_tenor,45,0.05130849518862132
median_abs_relative_total_variance_change,,nearest_tenor,45,0.12472724346839377
median_abs_total_variance_change,,nearest_tenor,45,0.0005321455105693493
median_abs_atm_iv_change,,nearest_tenor,90,0.00784907157542758
median_abs_relative_atm_iv_change,,nearest_tenor,90,0.038249914628864914
median_abs_relative_total_variance_change,,nearest_tenor,90,0.08253636563666848
median_abs_total_variance_change,,nearest_tenor,90,0.0008615063767145551
median_abs_atm_iv_change,,nearest_tenor,,0.008890098037482697
