expiration,quote_date,raw_count,reason,remaining_count,stage,underlying
,2020-01-02,608,cleaning_policy_rejection,603,cleaning,
,2020-01-03,770,cleaning_policy_rejection,761,cleaning,
,2020-01-06,812,cleaning_policy_rejection,808,cleaning,
,2020-01-07,812,cleaning_policy_rejection,805,cleaning,
,2020-01-08,808,cleaning_policy_rejection,799,cleaning,
,2020-01-09,816,cleaning_policy_rejection,802,cleaning,
,2020-01-10,1138,cleaning_policy_rejection,1128,cleaning,
,2020-01-13,874,cleaning_policy_rejection,869,cleaning,
,2020-01-14,878,cleaning_policy_rejection,870,cleaning,
,2020-01-15,868,cleaning_policy_rejection,861,cleaning,
,2020-01-16,862,cleaning_policy_rejection,859,cleaning,
,2020-01-17,950,cleaning_policy_rejection,944,cleaning,
,2020-01-21,910,cleaning_policy_rejection,903,cleaning,
,2020-01-22,910,cleaning_policy_rejection,900,cleaning,
,2020-01-23,792,cleaning_policy_rejection,783,cleaning,
,2020-01-24,868,cleaning_policy_rejection,861,cleaning,
,2020-01-27,846,cleaning_policy_rejection,841,cleaning,
,2020-01-28,864,cleaning_policy_rejection,860,cleaning,
,2020-01-29,1004,cleaning_policy_rejection,996,cleaning,
,2020-01-30,796,cleaning_policy_rejection,788,cleaning,
,2020-01-31,1006,cleaning_policy_rejection,1000,cleaning,
,2020-02-03,856,cleaning_policy_rejection,850,cleaning,
,2020-02-04,850,cleaning_policy_rejection,848,cleaning,
,2020-02-05,856,cleaning_policy_rejection,852,cleaning,
,2020-02-06,858,cleaning_policy_rejection,848,cleaning,
,2020-02-07,910,cleaning_policy_rejection,901,cleaning,
,2020-02-10,752,cleaning_policy_rejection,747,cleaning,
,2020-02-11,770,cleaning_policy_rejection,768,cleaning,
,2020-02-12,772,cleaning_policy_rejection,766,cleaning,
,2020-02-13,784,cleaning_policy_rejection,778,cleaning,
,2020-02-14,916,cleaning_policy_rejection,907,cleaning,
,2020-02-18,710,cleaning_policy_rejection,703,cleaning,
,2020-02-19,718,cleaning_policy_rejection,712,cleaning,
,2020-02-20,742,cleaning_policy_rejection,739,cleaning,
,2020-02-21,814,cleaning_policy_rejection,812,cleaning,
,2020-02-24,788,cleaning_policy_rejection,784,cleaning,
,2020-02-25,838,cleaning_policy_rejection,837,cleaning,
,2020-02-26,1060,cleaning_policy_rejection,1054,cleaning,
,2020-02-27,748,cleaning_policy_rejection,746,cleaning,
,2020-02-28,894,cleaning_policy_rejection,894,cleaning,
,2020-03-02,862,cleaning_policy_rejection,862,cleaning,
,2020-03-03,880,cleaning_policy_rejection,880,cleaning,
,2020-03-04,850,cleaning_policy_rejection,848,cleaning,
,2020-03-05,868,cleaning_policy_rejection,864,cleaning,
,2020-03-06,1206,cleaning_policy_rejection,1203,cleaning,
,2020-03-09,862,cleaning_policy_rejection,862,cleaning,
,2020-03-10,1064,cleaning_policy_rejection,1064,cleaning,
,2020-03-11,962,cleaning_policy_rejection,962,cleaning,
,2020-03-12,1012,cleaning_policy_rejection,1012,cleaning,
,2020-03-13,1180,cleaning_policy_rejection,1180,cleaning,
,2020-03-16,648,cleaning_policy_rejection,648,cleaning,
,2020-03-17,710,cleaning_policy_rejection,710,cleaning,
,2020-03-18,706,cleaning_policy_rejection,706,cleaning,
,2020-03-19,816,cleaning_policy_rejection,816,cleaning,
,2020-03-20,786,cleaning_policy_rejection,786,cleaning,
,2020-03-23,704,cleaning_policy_rejection,704,cleaning,
,2020-03-24,792,cleaning_policy_rejection,792,cleaning,
,2020-03-25,972,cleaning_policy_rejection,972,cleaning,
,2020-03-26,648,cleaning_policy_rejection,648,cleaning,
,2020-03-27,1234,cleaning_policy_rejection,1231,cleaning,
,2020-03-30,1320,cleaning_policy_rejection,1320,cleaning,
,2020-03-31,1324,cleaning_policy_rejection,1323,cleaning,
,2020-04-01,1312,cleaning_policy_rejection,1311,cleaning,
,2020-04-02,1330,cleaning_policy_rejection,1329,cleaning,
,2020-04-03,1400,cleaning_policy_rejection,1398,cleaning,
,2020-04-06,1034,cleaning_policy_rejection,1034,cleaning,
,2020-04-07,1062,cleaning_policy_rejection,1062,cleaning,
,2020-04-08,1074,cleaning_policy_rejection,1074,cleaning,
,2020-04-09,1106,cleaning_policy_rejection,1106,cleaning,
,2020-04-13,1010,cleaning_policy_rejection,1009,cleaning,
,2020-04-14,1028,cleaning_policy_rejection,1028,cleaning,
,2020-04-15,1060,cleaning_policy_rejection,1059,cleaning,
,2020-04-16,1084,cleaning_policy_rejection,1084,cleaning,
,2020-04-17,1120,cleaning_policy_rejection,1120,cleaning,
,2020-04-20,1082,cleaning_policy_rejection,1082,cleaning,
,2020-04-21,1082,cleaning_policy_rejection,1081,cleaning,
,2020-04-22,1080,cleaning_policy_rejection,1080,cleaning,
,2020-04-23,1006,cleaning_policy_rejection,1005,cleaning,
,2020-04-24,1256,cleaning_policy_rejection,1249,cleaning,
,2020-04-27,1056,cleaning_policy_rejection,1054,cleaning,
,2020-04-28,1046,cleaning_policy_rejection,1045,cleaning,
,2020-04-29,1260,cleaning_policy_rejection,1257,cleaning,
,2020-04-30,1018,cleaning_policy_rejection,1016,cleaning,
,2020-05-01,1108,cleaning_policy_rejection,1105,cleaning,
,2020-05-04,906,cleaning_policy_rejection,904,cleaning,
,2020-05-05,908,cleaning_policy_rejection,905,cleaning,
,2020-05-06,896,cleaning_policy_rejection,893,cleaning,
,2020-05-07,898,cleaning_policy_rejection,894,cleaning,
,2020-05-08,1176,cleaning_policy_rejection,1171,cleaning,
,2020-05-11,922,cleaning_policy_rejection,919,cleaning,
,2020-05-12,978,cleaning_policy_rejection,978,cleaning,
,2020-05-13,978,cleaning_policy_rejection,977,cleaning,
,2020-05-14,980,cleaning_policy_rejection,979,cleaning,
,2020-05-15,1164,cleaning_policy_rejection,1159,cleaning,
,2020-05-18,1154,cleaning_policy_rejection,1153,cleaning,
,2020-05-19,1162,cleaning_policy_rejection,1162,cleaning,
,2020-05-20,1162,cleaning_policy_rejection,1161,cleaning,
,2020-05-21,914,cleaning_policy_rejection,914,cleaning,
,2020-05-22,980,cleaning_policy_rejection,978,cleaning,
,2020-05-26,1168,cleaning_policy_rejection,1164,cleaning,
,2020-05-27,1172,cleaning_policy_rejection,1169,cleaning,
,2020-05-28,928,cleaning_policy_rejection,926,cleaning,
,2020-05-29,1136,cleaning_policy_rejection,1129,cleaning,
,2020-06-01,1168,cleaning_policy_rejection,1163,cleaning,
,2020-06-02,1160,cleaning_policy_rejection,1154,cleaning,
,2020-06-03,1150,cleaning_policy_rejection,1142,cleaning,
,2020-06-04,1178,cleaning_policy_rejection,1168,cleaning,
,2020-06-05,1186,cleaning_policy_rejection,1180,cleaning,
,2020-06-08,1002,cleaning_policy_rejection,1002,cleaning,
,2020-06-09,1158,cleaning_policy_rejection,1157,cleaning,
,2020-06-10,1062,cleaning_policy_rejection,1061,cleaning,
,2020-06-11,1164,cleaning_policy_rejection,1164,cleaning,
,2020-06-12,1158,cleaning_policy_rejection,1158,cleaning,
,2020-06-15,1088,cleaning_policy_rejection,1088,cleaning,
,2020-06-16,1084,cleaning_policy_rejection,1084,cleaning,
,2020-06-17,1092,cleaning_policy_rejection,1091,cleaning,
,2020-06-19,1114,cleaning_policy_rejection,1111,cleaning,
,2020-06-22,1078,cleaning_policy_rejection,1076,cleaning,
,2020-06-23,1078,cleaning_policy_rejection,1075,cleaning,
,2020-06-24,1094,cleaning_policy_rejection,1092,cleaning,
,2020-06-25,1008,cleaning_policy_rejection,1006,cleaning,
,2020-06-26,1222,cleaning_policy_rejection,1218,cleaning,
,2020-06-29,1050,cleaning_policy_rejection,1048,cleaning,
,2020-06-30,1042,cleaning_policy_rejection,1041,cleaning,
,2020-07-01,1184,cleaning_policy_rejection,1182,cleaning,
,2020-07-02,1026,cleaning_policy_rejection,1026,cleaning,
,2020-07-06,1176,cleaning_policy_rejection,1173,cleaning,
,2020-07-07,1186,cleaning_policy_rejection,1183,cleaning,
,2020-07-08,1168,cleaning_policy_rejection,1161,cleaning,
,2020-07-09,1170,cleaning_policy_rejection,1168,cleaning,
,2020-07-10,1182,cleaning_policy_rejection,1176,cleaning,
,2020-07-13,1044,cleaning_policy_rejection,1044,cleaning,
,2020-07-14,1060,cleaning_policy_rejection,1058,cleaning,
,2020-07-15,1060,cleaning_policy_rejection,1058,cleaning,
,2020-07-16,1070,cleaning_policy_rejection,1068,cleaning,
,2020-07-17,1084,cleaning_policy_rejection,1084,cleaning,
,2020-07-20,1066,cleaning_policy_rejection,1064,cleaning,
,2020-07-21,1074,cleaning_policy_rejection,1073,cleaning,
,2020-07-22,1068,cleaning_policy_rejection,1067,cleaning,
,2020-07-23,1000,cleaning_policy_rejection,998,cleaning,
,2020-07-24,1052,cleaning_policy_rejection,1048,cleaning,
,2020-07-27,1044,cleaning_policy_rejection,1042,cleaning,
,2020-07-28,1042,cleaning_policy_rejection,1040,cleaning,
,2020-07-29,1202,cleaning_policy_rejection,1199,cleaning,
,2020-07-30,964,cleaning_policy_rejection,964,cleaning,
,2020-07-31,1114,cleaning_policy_rejection,1112,cleaning,
,2020-08-03,836,cleaning_policy_rejection,830,cleaning,
,2020-08-04,838,cleaning_policy_rejection,834,cleaning,
,2020-08-05,838,cleaning_policy_rejection,830,cleaning,
,2020-08-06,832,cleaning_policy_rejection,825,cleaning,
,2020-08-07,1194,cleaning_policy_rejection,1185,cleaning,
,2020-08-10,1028,cleaning_policy_rejection,1024,cleaning,
,2020-08-11,1080,cleaning_policy_rejection,1077,cleaning,
,2020-08-12,1042,cleaning_policy_rejection,1041,cleaning,
,2020-08-13,1050,cleaning_policy_rejection,1049,cleaning,
,2020-08-14,1190,cleaning_policy_rejection,1188,cleaning,
,2020-08-17,1166,cleaning_policy_rejection,1161,cleaning,
,2020-08-18,1046,cleaning_policy_rejection,1044,cleaning,
,2020-08-19,1046,cleaning_policy_rejection,1043,cleaning,
,2020-08-20,1046,cleaning_policy_rejection,1040,cleaning,
,2020-08-21,1054,cleaning_policy_rejection,1049,cleaning,
,2020-08-24,1036,cleaning_policy_rejection,1032,cleaning,
,2020-08-25,1030,cleaning_policy_rejection,1025,cleaning,
,2020-08-26,1156,cleaning_policy_rejection,1155,cleaning,
,2020-08-27,944,cleaning_policy_rejection,942,cleaning,
,2020-08-28,1086,cleaning_policy_rejection,1086,cleaning,
,2020-08-31,1230,cleaning_policy_rejection,1225,cleaning,
,2020-09-01,1218,cleaning_policy_rejection,1216,cleaning,
,2020-09-02,1138,cleaning_policy_rejection,1137,cleaning,
,2020-09-03,1210,cleaning_policy_rejection,1209,cleaning,
,2020-09-04,1298,cleaning_policy_rejection,1298,cleaning,
,2020-09-08,798,cleaning_policy_rejection,798,cleaning,
,2020-09-09,996,cleaning_policy_rejection,995,cleaning,
,2020-09-10,1036,cleaning_policy_rejection,1034,cleaning,
,2020-09-11,956,cleaning_policy_rejection,954,cleaning,
,2020-09-14,828,cleaning_policy_rejection,828,cleaning,
,2020-09-15,892,cleaning_policy_rejection,889,cleaning,
,2020-09-16,870,cleaning_policy_rejection,870,cleaning,
,2020-09-17,912,cleaning_policy_rejection,910,cleaning,
,2020-09-18,996,cleaning_policy_rejection,992,cleaning,
,2020-09-21,922,cleaning_policy_rejection,922,cleaning,
,2020-09-22,936,cleaning_policy_rejection,934,cleaning,
,2020-09-23,956,cleaning_policy_rejection,955,cleaning,
,2020-09-24,896,cleaning_policy_rejection,892,cleaning,
,2020-09-25,1136,cleaning_policy_rejection,1133,cleaning,
,2020-09-28,904,cleaning_policy_rejection,904,cleaning,
,2020-09-29,934,cleaning_policy_rejection,931,cleaning,
,2020-09-30,1082,cleaning_policy_rejection,1079,cleaning,
,2020-10-01,826,cleaning_policy_rejection,826,cleaning,
,2020-10-02,930,cleaning_policy_rejection,929,cleaning,
,2020-10-05,1112,cleaning_policy_rejection,1106,cleaning,
,2020-10-06,1128,cleaning_policy_rejection,1127,cleaning,
,2020-10-07,1204,cleaning_policy_rejection,1203,cleaning,
,2020-10-08,1192,cleaning_policy_rejection,1187,cleaning,
,2020-10-09,1222,cleaning_policy_rejection,1214,cleaning,
,2020-10-12,1036,cleaning_policy_rejection,1034,cleaning,
,2020-10-13,1086,cleaning_policy_rejection,1082,cleaning,
,2020-10-14,1088,cleaning_policy_rejection,1086,cleaning,
,2020-10-15,1092,cleaning_policy_rejection,1091,cleaning,
,2020-10-16,1148,cleaning_policy_rejection,1147,cleaning,
,2020-10-19,1100,cleaning_policy_rejection,1100,cleaning,
,2020-10-20,1092,cleaning_policy_rejection,1090,cleaning,
,2020-10-21,1098,cleaning_policy_rejection,1096,cleaning,
,2020-10-22,990,cleaning_policy_rejection,987,cleaning,
,2020-10-23,1076,cleaning_policy_rejection,1073,cleaning,
,2020-10-26,1052,cleaning_policy_rejection,1051,cleaning,
,2020-10-27,1036,cleaning_policy_rejection,1033,cleaning,
,2020-10-28,1278,cleaning_policy_rejection,1277,cleaning,
,2020-10-29,1032,cleaning_policy_rejection,1031,cleaning,
,2020-10-30,1330,cleaning_policy_rejection,1330,cleaning,
,2020-11-02,944,cleaning_policy_rejection,943,cleaning,
,2020-11-03,930,cleaning_policy_rejection,926,cleaning,
,2020-11-04,910,cleaning_policy_rejection,906,cleaning,
,2020-11-05,896,cleaning_policy_rejection,890,cleaning,
,2020-11-06,1226,cleaning_policy_rejection,1220,cleaning,
,2020-11-09,988,cleaning_policy_rejection,986,cleaning,
,2020-11-10,1012,cleaning_policy_rejection,1011,cleaning,
,2020-11-11,1016,cleaning_policy_rejection,1015,cleaning,
,2020-11-12,1018,cleaning_policy_rejection,1015,cleaning,
,2020-11-13,1176,cleaning_policy_rejection,1175,cleaning,
,2020-11-16,1110,cleaning_policy_rejection,1107,cleaning,
,2020-11-17,1120,cleaning_policy_rejection,1118,cleaning,
,2020-11-18,1114,cleaning_policy_rejection,1111,cleaning,
,2020-11-19,1112,cleaning_policy_rejection,1111,cleaning,
,2020-11-20,1208,cleaning_policy_rejection,1202,cleaning,
,2020-11-23,1100,cleaning_policy_rejection,1099,cleaning,
,2020-11-24,1128,cleaning_policy_rejection,1123,cleaning,
,2020-11-25,878,cleaning_policy_rejection,872,cleaning,
,2020-11-30,1186,cleaning_policy_rejection,1182,cleaning,
,2020-12-01,1176,cleaning_policy_rejection,1171,cleaning,
,2020-12-02,1150,cleaning_policy_rejection,1147,cleaning,
,2020-12-03,1194,cleaning_policy_rejection,1189,cleaning,
,2020-12-04,1194,cleaning_policy_rejection,1189,cleaning,
,2020-12-07,1014,cleaning_policy_rejection,1012,cleaning,
,2020-12-08,1024,cleaning_policy_rejection,1022,cleaning,
,2020-12-09,1026,cleaning_policy_rejection,1024,cleaning,
,2020-12-10,1210,cleaning_policy_rejection,1205,cleaning,
,2020-12-11,1210,cleaning_policy_rejection,1204,cleaning,
,2020-12-14,996,cleaning_policy_rejection,994,cleaning,
,2020-12-15,1030,cleaning_policy_rejection,1029,cleaning,
,2020-12-16,1004,cleaning_policy_rejection,1002,cleaning,
,2020-12-17,1066,cleaning_policy_rejection,1065,cleaning,
,2020-12-18,1082,cleaning_policy_rejection,1080,cleaning,
,2020-12-21,1118,cleaning_policy_rejection,1116,cleaning,
,2020-12-22,1118,cleaning_policy_rejection,1113,cleaning,
,2020-12-23,1138,cleaning_policy_rejection,1135,cleaning,
,2020-12-28,990,cleaning_policy_rejection,989,cleaning,
,2020-12-29,1020,cleaning_policy_rejection,1018,cleaning,
,2020-12-30,1146,cleaning_policy_rejection,1142,cleaning,
,2020-12-31,972,cleaning_policy_rejection,972,cleaning,
,2021-01-04,1168,cleaning_policy_rejection,1168,cleaning,
,2021-01-05,1186,cleaning_policy_rejection,1186,cleaning,
,2021-01-06,1208,cleaning_policy_rejection,1208,cleaning,
,2021-01-07,1200,cleaning_policy_rejection,1200,cleaning,
,2021-01-08,1250,cleaning_policy_rejection,1250,cleaning,
,2021-01-11,1058,cleaning_policy_rejection,1058,cleaning,
,2021-01-12,1062,cleaning_policy_rejection,1062,cleaning,
,2021-01-13,1088,cleaning_policy_rejection,1088,cleaning,
,2021-01-14,1088,cleaning_policy_rejection,1088,cleaning,
,2021-01-15,1144,cleaning_policy_rejection,1144,cleaning,
,2021-01-19,1112,cleaning_policy_rejection,1112,cleaning,
,2021-01-20,1054,cleaning_policy_rejection,1054,cleaning,
,2021-01-21,988,cleaning_policy_rejection,988,cleaning,
,2021-01-22,1086,cleaning_policy_rejection,1086,cleaning,
,2021-01-25,968,cleaning_policy_rejection,968,cleaning,
,2021-01-26,958,cleaning_policy_rejection,958,cleaning,
,2021-01-27,1216,cleaning_policy_rejection,1216,cleaning,
,2021-01-28,960,cleaning_policy_rejection,960,cleaning,
,2021-01-29,1242,cleaning_policy_rejection,1242,cleaning,
,2021-02-01,902,cleaning_policy_rejection,902,cleaning,
,2021-02-02,926,cleaning_policy_rejection,926,cleaning,
,2021-02-03,926,cleaning_policy_rejection,926,cleaning,
,2021-02-04,924,cleaning_policy_rejection,924,cleaning,
,2021-02-05,1312,cleaning_policy_rejection,1312,cleaning,
,2021-02-08,1064,cleaning_policy_rejection,1064,cleaning,
,2021-02-09,1030,cleaning_policy_rejection,1030,cleaning,
,2021-02-10,1032,cleaning_policy_rejection,1032,cleaning,
,2021-02-11,1040,cleaning_policy_rejection,1040,cleaning,
,2021-02-12,1236,cleaning_policy_rejection,1236,cleaning,
,2021-02-16,1078,cleaning_policy_rejection,1078,cleaning,
,2021-02-17,1042,cleaning_policy_rejection,1042,cleaning,
,2021-02-18,1042,cleaning_policy_rejection,1042,cleaning,
,2021-02-19,1122,cleaning_policy_rejection,1122,cleaning,
,2021-02-22,1098,cleaning_policy_rejection,1098,cleaning,
,2021-02-23,902,cleaning_policy_rejection,868,cleaning,
,2021-02-24,942,cleaning_policy_rejection,862,cleaning,
,2021-02-25,994,cleaning_policy_rejection,994,cleaning,
