crossed_market_rows,expire_date,maximum_vendor_dte,minimum_vendor_dte,quote_date,raw_rows,strikes
1.0,2020-01-03T00:00:00,1.0,1.0,2020-01-02T00:00:00,118,118
5.0,2020-01-06T00:00:00,4.0,4.0,2020-01-02T00:00:00,60,60
2.0,2020-01-08T00:00:00,6.0,6.0,2020-01-02T00:00:00,57,57
1.0,2020-01-10T00:00:00,8.0,8.0,2020-01-02T00:00:00,83,83
0.0,2020-01-13T00:00:00,11.0,11.0,2020-01-02T00:00:00,60,60
0.0,2020-01-15T00:00:00,13.0,13.0,2020-01-02T00:00:00,58,58
3.0,2020-01-17T00:00:00,15.0,15.0,2020-01-02T00:00:00,214,214
0.0,2020-01-21T00:00:00,19.0,19.0,2020-01-02T00:00:00,56,56
1.0,2020-01-22T00:00:00,20.0,20.0,2020-01-02T00:00:00,54,54
0.0,2020-01-24T00:00:00,22.0,22.0,2020-01-02T00:00:00,131,131
1.0,2020-01-27T00:00:00,25.0,25.0,2020-01-02T00:00:00,55,55
1.0,2020-01-29T00:00:00,27.0,27.0,2020-01-02T00:00:00,51,51
0.0,2020-01-31T00:00:00,29.0,29.0,2020-01-02T00:00:00,131,131
0.0,2020-02-03T00:00:00,32.0,32.0,2020-01-02T00:00:00,38,38
0.0,2020-02-05T00:00:00,34.0,34.0,2020-01-02T00:00:00,23,23
2.0,2020-02-07T00:00:00,36.0,36.0,2020-01-02T00:00:00,71,71
1.0,2020-02-14T00:00:00,43.0,43.0,2020-01-02T00:00:00,71,71
2.0,2020-02-21T00:00:00,50.0,50.0,2020-01-02T00:00:00,156,156
3.0,2020-03-20T00:00:00,77.96,77.96,2020-01-02T00:00:00,153,153
3.0,2020-03-31T00:00:00,88.96,88.96,2020-01-02T00:00:00,105,105
4.0,2020-04-17T00:00:00,105.96,105.96,2020-01-02T00:00:00,198,198
1.0,2020-05-15T00:00:00,133.96,133.96,2020-01-02T00:00:00,84,84
1.0,2020-06-19T00:00:00,168.96,168.96,2020-01-02T00:00:00,150,150
0.0,2020-06-30T00:00:00,179.96,179.96,2020-01-02T00:00:00,106,106
0.0,2020-09-18T00:00:00,259.96,259.96,2020-01-02T00:00:00,129,129
0.0,2020-09-30T00:00:00,271.96,271.96,2020-01-02T00:00:00,103,103
0.0,2020-10-16T00:00:00,287.96,287.96,2020-01-02T00:00:00,113,113
0.0,2020-11-20T00:00:00,323.0,323.0,2020-01-02T00:00:00,101,101
0.0,2020-12-18T00:00:00,351.0,351.0,2020-01-02T00:00:00,146,146
0.0,2020-12-31T00:00:00,364.0,364.0,2020-01-02T00:00:00,93,93
0.0,2021-01-15T00:00:00,379.0,379.0,2020-01-02T00:00:00,204,204
0.0,2021-03-19T00:00:00,441.96,441.96,2020-01-02T00:00:00,115,115
0.0,2021-06-18T00:00:00,532.96,532.96,2020-01-02T00:00:00,60,60
0.0,2021-09-17T00:00:00,623.96,623.96,2020-01-02T00:00:00,58,58
0.0,2021-12-17T00:00:00,715.0,715.0,2020-01-02T00:00:00,167,167
