metric,observation_count,specification,target_tenor,value
median_abs_atm_iv_change,2967,atm_method:LINEAR_TOTAL_VARIANCE,,0.01288626356707627
median_abs_atm_iv_change,,fixed_expiration_selected_sample,,0.013069099173208795
median_abs_atm_iv_change,,nearest_tenor,150,0.014150285520164327
median_abs_relative_atm_iv_change,,nearest_tenor,150,0.06716261701086623
median_abs_relative_total_variance_change,,nearest_tenor,150,0.13799909462027843
median_abs_total_variance_change,,nearest_tenor,150,0.0023342207076965113
median_abs_atm_iv_change,,nearest_tenor,21,0.012768219887357046
median_abs_relative_atm_iv_change,,nearest_tenor,21,0.06662503567157295
median_abs_relative_total_variance_change,,nearest_tenor,21,0.14027490848104243
median_abs_total_variance_change,,nearest_tenor,21,0.0002622878459875896
median_abs_atm_iv_change,,nearest_tenor,45,0.012164390557214466
median_abs_relative_atm_iv_change,,nearest_tenor,45,0.061760823664239684
median_abs_relative_total_variance_change,,nearest_tenor,45,0.14436793612793536
median_abs_total_variance_change,,nearest_tenor,45,0.0006187684555473989
median_abs_atm_iv_change,,nearest_tenor,90,0.012670802488118471
median_abs_relative_atm_iv_change,,nearest_tenor,90,0.06453722426634383
median_abs_relative_total_variance_change,,nearest_tenor,90,0.13681053428124332
median_abs_total_variance_change,,nearest_tenor,90,0.001262829054020415
median_abs_atm_iv_change,,nearest_tenor,,0.01288626356707627
