actual,artifact,check,expected,passed
226e08ee97e171c2fc08c59494830c2fc93e4c590fd12d96a3a24056791f7619,cross_underlying_vendor_iv_replication/atm_expiry_panel.parquet,logical_panel_hash,226e08ee97e171c2fc08c59494830c2fc93e4c590fd12d96a3a24056791f7619,true
2a9b6db393af46c231d62807a02a10d147a5f2bdc4e4ac36402449e0ec57e57d,cross_underlying_vendor_iv_replication/atm_tenor_panel.parquet,logical_panel_hash,2a9b6db393af46c231d62807a02a10d147a5f2bdc4e4ac36402449e0ec57e57d,true
bc50f3813bd62d638d37376e08698636084ea0b7c05cc50e730d67e693c44a88,pilot_a/atm_expiry_panel.parquet,logical_panel_hash,bc50f3813bd62d638d37376e08698636084ea0b7c05cc50e730d67e693c44a88,true
df5c17dcbbf2df80d2960a8143af8eb47e5bcab58b394da5905474bef782c442,pilot_a/atm_tenor_panel.parquet,logical_panel_hash,df5c17dcbbf2df80d2960a8143af8eb47e5bcab58b394da5905474bef782c442,true
7bd86a9daef4c9afa8fea4e713ac4ea3b29522f126802a531e76e3251eef0573,pilot_a_alt_carry/atm_expiry_panel.parquet,logical_panel_hash,7bd86a9daef4c9afa8fea4e713ac4ea3b29522f126802a531e76e3251eef0573,true
5f37aaa94bcf73f53dc7bdf89fbafdabe84b9cdf89a3ec99c0f0c6fd39ceb419,pilot_a_alt_carry/atm_tenor_panel.parquet,logical_panel_hash,5f37aaa94bcf73f53dc7bdf89fbafdabe84b9cdf89a3ec99c0f0c6fd39ceb419,true
2ada984e38177fe48e6605c6e0f8bff28448f89a1c90ea0375234f65b5cf6eaf,spy_2010_2023_vendor_iv_replication/atm_expiry_panel.parquet,logical_panel_hash,2ada984e38177fe48e6605c6e0f8bff28448f89a1c90ea0375234f65b5cf6eaf,true
adcea41e2c81d0f725e58899251f449bed1197636f17c8b0b15b9765c3796983,spy_2010_2023_vendor_iv_replication/atm_tenor_panel.parquet,logical_panel_hash,adcea41e2c81d0f725e58899251f449bed1197636f17c8b0b15b9765c3796983,true
2772ca9a1c0d6852d56d0499624ccb421a1eda21e201c4e09fc8aa8b4c58380b,D:\ncx-derivatives\data\raw\kaggle\common_uploader\aapl_2016_2023\_download\kaggle_dataset.zip,raw_file_sha256,2772ca9a1c0d6852d56d0499624ccb421a1eda21e201c4e09fc8aa8b4c58380b,true
a91178de952393c7782fd4d57bd6407daf5b203b7b591f7bf654b47443b39ebd,D:\ncx-derivatives\data\raw\kaggle\common_uploader\aapl_2016_2023\aapl_2016_2020.csv,raw_file_sha256,a91178de952393c7782fd4d57bd6407daf5b203b7b591f7bf654b47443b39ebd,true
