expiration,quote_date,raw_count,reason,remaining_count,stage,underlying
2014-02-28,2014-02-03,32,ask:ATM_NOT_BRACKETED,0,atm_metric,SPY
2018-12-19,2018-11-30,5,ask:ATM_NOT_BRACKETED,0,atm_metric,SPY
2018-12-19,2018-12-03,5,ask:ATM_NOT_BRACKETED,0,atm_metric,SPY
2018-12-19,2018-12-07,10,ask:ATM_NOT_BRACKETED,0,atm_metric,SPY
2018-12-23,2018-12-07,5,ask:ATM_NOT_BRACKETED,0,atm_metric,SPY
2018-12-19,2018-12-10,10,ask:ATM_NOT_BRACKETED,0,atm_metric,SPY
2018-12-23,2018-12-10,5,ask:ATM_NOT_BRACKETED,0,atm_metric,SPY
2018-12-19,2018-12-11,10,ask:ATM_NOT_BRACKETED,0,atm_metric,SPY
2018-12-23,2018-12-11,5,ask:ATM_NOT_BRACKETED,0,atm_metric,SPY
2018-12-23,2018-12-12,5,ask:ATM_NOT_BRACKETED,0,atm_metric,SPY
2018-12-23,2018-12-13,5,ask:ATM_NOT_BRACKETED,0,atm_metric,SPY
2018-12-23,2018-12-14,5,ask:ATM_NOT_BRACKETED,0,atm_metric,SPY
2020-04-29,2020-03-26,10,ask:ATM_NOT_BRACKETED,0,atm_metric,SPY
2018-12-23,2018-11-30,2,ask:selected_points_below_5,0,atm_metric,SPY
2018-12-25,2018-11-30,3,ask:selected_points_below_5,0,atm_metric,SPY
2018-12-23,2018-12-03,2,ask:selected_points_below_5,0,atm_metric,SPY
2018-12-25,2018-12-03,3,ask:selected_points_below_5,0,atm_metric,SPY
2018-12-23,2018-12-04,2,ask:selected_points_below_5,0,atm_metric,SPY
2018-12-25,2018-12-04,3,ask:selected_points_below_5,0,atm_metric,SPY
2018-12-23,2018-12-05,2,ask:selected_points_below_5,0,atm_metric,SPY
2018-12-25,2018-12-05,3,ask:selected_points_below_5,0,atm_metric,SPY
2018-12-23,2018-12-06,2,ask:selected_points_below_5,0,atm_metric,SPY
2018-12-25,2018-12-06,3,ask:selected_points_below_5,0,atm_metric,SPY
2018-12-25,2018-12-07,3,ask:selected_points_below_5,0,atm_metric,SPY
2018-12-25,2018-12-10,3,ask:selected_points_below_5,0,atm_metric,SPY
2018-12-25,2018-12-11,3,ask:selected_points_below_5,0,atm_metric,SPY
2018-12-25,2018-12-12,3,ask:selected_points_below_5,0,atm_metric,SPY
2018-12-25,2018-12-13,3,ask:selected_points_below_5,0,atm_metric,SPY
2019-01-31,2018-12-13,1,ask:selected_points_below_5,0,atm_metric,SPY
2018-12-25,2018-12-14,3,ask:selected_points_below_5,0,atm_metric,SPY
2019-01-31,2018-12-14,1,ask:selected_points_below_5,0,atm_metric,SPY
2018-12-25,2018-12-17,3,ask:selected_points_below_5,0,atm_metric,SPY
2019-01-31,2018-12-17,1,ask:selected_points_below_5,0,atm_metric,SPY
2014-02-28,2014-02-03,21,bid:ATM_NOT_BRACKETED,0,atm_metric,SPY
2018-12-19,2018-11-30,5,bid:ATM_NOT_BRACKETED,0,atm_metric,SPY
2018-12-19,2018-12-03,5,bid:ATM_NOT_BRACKETED,0,atm_metric,SPY
2018-12-19,2018-12-07,10,bid:ATM_NOT_BRACKETED,0,atm_metric,SPY
2018-12-23,2018-12-07,5,bid:ATM_NOT_BRACKETED,0,atm_metric,SPY
2018-12-19,2018-12-10,10,bid:ATM_NOT_BRACKETED,0,atm_metric,SPY
2018-12-23,2018-12-10,5,bid:ATM_NOT_BRACKETED,0,atm_metric,SPY
2018-12-19,2018-12-11,10,bid:ATM_NOT_BRACKETED,0,atm_metric,SPY
2018-12-23,2018-12-11,5,bid:ATM_NOT_BRACKETED,0,atm_metric,SPY
2018-12-23,2018-12-12,5,bid:ATM_NOT_BRACKETED,0,atm_metric,SPY
2018-12-23,2018-12-13,5,bid:ATM_NOT_BRACKETED,0,atm_metric,SPY
