crossed_market_rows,expiries,maximum_spot,minimum_spot,missing_quote_rows,quote_date,raw_rows,strikes
1.0,13,113.29,113.29,0.0,2010-01-04T00:00:00,914,131
4.0,12,113.64,113.64,0.0,2010-01-05T00:00:00,914,131
1.0,13,113.74,113.74,0.0,2010-01-06T00:00:00,996,131
1.0,13,114.2,114.2,0.0,2010-01-07T00:00:00,996,131
1.0,13,114.54,114.54,0.0,2010-01-08T00:00:00,996,131
3.0,13,114.73,114.73,0.0,2010-01-11T00:00:00,996,131
0.0,13,113.66,113.66,0.0,2010-01-12T00:00:00,1002,131
0.0,13,114.63,114.63,0.0,2010-01-13T00:00:00,1005,131
1.0,13,114.92,114.92,0.0,2010-01-14T00:00:00,1005,131
1.0,13,113.66,113.66,0.0,2010-01-15T00:00:00,1005,131
1.0,12,115.06,115.06,0.0,2010-01-19T00:00:00,895,131
1.0,13,113.9,113.9,0.0,2010-01-20T00:00:00,993,131
1.0,13,111.68,111.68,0.0,2010-01-21T00:00:00,993,131
2.0,13,109.22,109.22,0.0,2010-01-22T00:00:00,993,131
1.0,13,109.78,109.78,0.0,2010-01-25T00:00:00,993,131
1.0,13,109.28,109.28,0.0,2010-01-26T00:00:00,993,131
0.0,13,109.83,109.83,993.0,2010-01-27T00:00:00,993,131
0.0,13,108.56,108.56,993.0,2010-01-28T00:00:00,993,131
0.0,13,107.43,107.43,993.0,2010-01-29T00:00:00,993,131
0.0,13,109.01,109.01,993.0,2010-02-01T00:00:00,993,131
0.0,13,110.4,110.4,993.0,2010-02-02T00:00:00,993,131
0.0,13,109.86,109.86,993.0,2010-02-03T00:00:00,993,131
0.0,13,106.47,106.47,993.0,2010-02-04T00:00:00,993,131
0.0,13,106.72,106.72,993.0,2010-02-05T00:00:00,993,131
2.0,13,105.89,105.89,0.0,2010-02-08T00:00:00,993,131
3.0,13,107.22,107.22,0.0,2010-02-09T00:00:00,993,131
3.0,13,107.01,107.01,0.0,2010-02-10T00:00:00,993,131
1.0,13,108.11,108.11,0.0,2010-02-11T00:00:00,993,131
2.0,13,108.02,108.02,0.0,2010-02-12T00:00:00,993,131
0.0,13,109.75,109.75,0.0,2010-02-16T00:00:00,993,131
0.0,13,110.25,110.25,0.0,2010-02-17T00:00:00,993,131
0.0,13,110.95,110.95,0.0,2010-02-18T00:00:00,993,131
0.0,13,111.19,111.19,0.0,2010-02-19T00:00:00,993,131
1.0,13,111.13,111.13,0.0,2010-02-22T00:00:00,980,123
0.0,13,109.8,109.8,0.0,2010-02-23T00:00:00,981,123
2.0,13,110.86,110.86,0.0,2010-02-24T00:00:00,981,123
1.0,13,110.71,110.71,0.0,2010-02-25T00:00:00,981,123
1.0,13,110.75,110.75,0.0,2010-02-26T00:00:00,981,123
1.0,13,111.89,111.89,0.0,2010-03-01T00:00:00,981,123
1.0,13,112.16,112.16,0.0,2010-03-02T00:00:00,981,123
2.0,13,112.3,112.3,0.0,2010-03-03T00:00:00,981,123
1.0,13,112.64,112.64,0.0,2010-03-04T00:00:00,981,123
2.0,13,114.23,114.23,0.0,2010-03-05T00:00:00,981,123
2.0,13,114.27,114.27,0.0,2010-03-08T00:00:00,981,123
3.0,13,114.44,114.44,0.0,2010-03-09T00:00:00,981,123
2.0,13,114.98,114.98,0.0,2010-03-10T00:00:00,981,123
2.0,13,115.46,115.46,0.0,2010-03-11T00:00:00,982,123
2.0,13,115.46,115.46,0.0,2010-03-12T00:00:00,988,123
2.0,13,115.5,115.5,0.0,2010-03-15T00:00:00,992,123
3.0,13,116.41,116.41,0.0,2010-03-16T00:00:00,992,123
3.0,13,117.1,117.1,0.0,2010-03-17T00:00:00,992,123
0.0,13,117.03,117.03,0.0,2010-03-18T00:00:00,992,123
1.0,13,115.97,115.97,0.0,2010-03-19T00:00:00,992,123
2.0,13,116.58,116.58,0.0,2010-03-22T00:00:00,977,123
2.0,13,117.42,117.42,0.0,2010-03-23T00:00:00,977,123
1.0,13,116.83,116.83,0.0,2010-03-24T00:00:00,977,123
0.0,13,116.62,116.62,0.0,2010-03-25T00:00:00,977,123
1.0,13,116.65,116.65,0.0,2010-03-26T00:00:00,977,123
3.0,13,117.35,117.35,0.0,2010-03-29T00:00:00,977,123
2.0,13,117.38,117.38,0.0,2010-03-30T00:00:00,977,123
3.0,13,116.98,116.98,0.0,2010-03-31T00:00:00,988,123
0.0,13,117.81,117.81,0.0,2010-04-01T00:00:00,934,123
3.0,13,118.78,118.78,0.0,2010-04-05T00:00:00,934,123
3.0,13,119.02,119.02,0.0,2010-04-06T00:00:00,934,123
0.0,13,118.38,118.38,0.0,2010-04-07T00:00:00,934,123
0.0,13,118.78,118.78,0.0,2010-04-08T00:00:00,934,123
0.0,13,119.54,119.54,0.0,2010-04-09T00:00:00,934,123
2.0,13,119.76,119.76,0.0,2010-04-12T00:00:00,934,123
4.0,13,119.87,119.87,0.0,2010-04-13T00:00:00,934,123
2.0,13,121.17,121.17,0.0,2010-04-14T00:00:00,934,123
1.0,13,121.31,121.31,0.0,2010-04-15T00:00:00,934,123
0.0,13,119.37,119.37,0.0,2010-04-16T00:00:00,962,123
0.0,13,119.85,119.85,0.0,2010-04-19T00:00:00,959,123
1.0,13,120.87,120.87,0.0,2010-04-20T00:00:00,959,123
1.0,13,120.65,120.65,0.0,2010-04-21T00:00:00,959,123
0.0,13,121.0,121.0,0.0,2010-04-22T00:00:00,959,123
1.0,13,121.8,121.8,0.0,2010-04-23T00:00:00,959,123
0.0,13,121.34,121.34,0.0,2010-04-26T00:00:00,959,123
0.0,13,118.49,118.49,0.0,2010-04-27T00:00:00,959,123
0.0,13,119.34,119.34,0.0,2010-04-28T00:00:00,959,123
2.0,13,120.84,120.84,0.0,2010-04-29T00:00:00,959,123
1.0,13,118.81,118.81,0.0,2010-04-30T00:00:00,959,123
0.0,13,120.39,120.39,0.0,2010-05-03T00:00:00,959,123
1.0,13,117.54,117.54,0.0,2010-05-04T00:00:00,959,123
0.0,13,116.82,116.82,0.0,2010-05-05T00:00:00,959,123
0.0,13,112.87,112.87,0.0,2010-05-06T00:00:00,959,123
0.0,13,111.3,111.3,0.0,2010-05-07T00:00:00,959,123
0.0,13,116.14,116.14,0.0,2010-05-10T00:00:00,959,123
0.0,13,115.82,115.82,0.0,2010-05-11T00:00:00,978,123
0.0,13,117.47,117.47,0.0,2010-05-12T00:00:00,978,123
1.0,13,115.98,115.98,0.0,2010-05-13T00:00:00,978,123
0.0,13,113.9,113.9,0.0,2010-05-14T00:00:00,978,123
0.0,13,113.95,113.95,0.0,2010-05-17T00:00:00,978,123
0.0,13,112.42,112.42,0.0,2010-05-18T00:00:00,978,123
0.0,13,107.51,107.51,0.0,2010-05-20T00:00:00,978,123
