atm_iv_standard_deviation,count,coverage,liquidity_quintile,mean_atm_iv,median_absolute_atm_iv_change,median_atm_iv,median_atm_iv_spread,median_relative_instability,p90_absolute_atm_iv_change,p95_absolute_atm_iv_change,target_tenor
0.031981894344997965,8,0.002280501710376283,,0.2221371561427542,0.03702515208507888,0.22546080373068522,,0.18858808476248948,0.05747394550804255,0.06375957088032866,150
0.08060341376318658,8,0.002280501710376283,,0.2210698748512265,0.04172230410760183,0.19022144691627915,,0.273949446045657,0.17114856956275304,0.17959167219387745,21
0.0528268528221987,9,0.002565564424173318,,0.22022640523852877,0.05096652460451068,0.21938977249739533,,0.261469356282432,0.10112151565537081,0.1137595353713611,45
0.029179167804407772,3,0.0008551881413911061,,0.1977708986907357,0.04589000230060078,0.21030835840913037,,0.23056064291819556,0.04859205074806778,0.04892980680400115,90
0.03746691343341731,585,0.16676168757126567,1,0.17752088438128266,0.004267111629132542,0.17054296959879878,,0.023669636670330816,0.012543651479874946,0.016534093119411186,150
0.06401060055521698,647,0.18443557582668188,1,0.18321008319864532,0.009125787508119848,0.17495928452579765,,0.050322445228014934,0.026422147377794206,0.034597684401924324,21
0.05752523858286909,664,0.18928164196123148,1,0.18231664307187975,0.006638005137499847,0.17578000919125086,,0.038583159390312094,0.019836689606869098,0.0254212926172462,45
0.042837063999723646,667,0.19013683010262258,1,0.18321865694493705,0.005422875923553977,0.1756018836011668,,0.030019115962195687,0.015177481228321963,0.018913206464734704,90
0.04732256954414572,585,0.16676168757126567,2,0.17149454742016593,0.004964850006617616,0.15478217326565963,,0.029859592074080003,0.015544878093154664,0.021280986115318486,150
0.0666017191187708,647,0.18443557582668188,2,0.14537001812435815,0.008097078752879794,0.1258404028217391,,0.06063411737151799,0.027989181320853485,0.04026734355350658,21
0.061913023860428185,663,0.18899657924743443,2,0.16346183819175072,0.007304501806049218,0.14856653438254058,,0.04927532466009952,0.02338110041168326,0.02949459182617799,45
0.05705150791228431,666,0.18985176738882553,2,0.1646875795593859,0.006291672279022872,0.1459502631209585,,0.040116139303625856,0.01902634674223215,0.024646597270461975,90
0.04308629379778581,584,0.16647662485746864,3,0.16429851919807764,0.004699560218376031,0.15568067331413982,,0.028914376364266817,0.01446250772365058,0.019070296719140897,150
0.06131525577862554,646,0.18415051311288483,3,0.12978541535274185,0.007158697534502122,0.11447010568581903,,0.06217910072798563,0.025907524113484,0.0365185160451044,21
0.06163800916719644,663,0.18899657924743443,3,0.13803418786434649,0.006684325232580272,0.12238056413567983,,0.05403313076626579,0.02319598745240443,0.03138077611008468,45
0.05463046659470603,666,0.18985176738882553,3,0.15405789728976957,0.005234643592668224,0.13770965917952277,,0.03648773141639151,0.018741449724471608,0.025093426869021156,90
0.05151122081097659,585,0.16676168757126567,4,0.182858438187969,0.004647435174828324,0.1734595521458215,,0.02726916994450303,0.017559936330455685,0.02286820936025527,150
0.08112438519646875,647,0.18443557582668188,4,0.1419337865582411,0.007464790984283598,0.11642348843663676,,0.06152518050303541,0.029516404592520393,0.043692425438633664,21
0.07465028677806351,663,0.18899657924743443,4,0.15506892822410898,0.006880799120658129,0.13440050503846676,,0.05185685699101431,0.02521552822277536,0.036661636788659774,45
0.05150251680772111,666,0.18985176738882553,4,0.16077205414214674,0.004234752607343677,0.1465195711672988,,0.028259010282747125,0.016029217594899565,0.021502275461440394,90
0.05686461499047266,585,0.16676168757126567,5,0.18861085743394843,0.003978631267729085,0.17764177905196754,,0.022480388078232813,0.01570807718163268,0.023998200885048154,150
0.05296779930886901,647,0.18443557582668188,5,0.1572211626070577,0.007223273892910942,0.1452158282760772,,0.05191343211007396,0.024984398626437646,0.034703649192328156,21
0.042222833254096134,664,0.18928164196123148,5,0.1572055589110201,0.005116573499815341,0.1500584464427177,,0.03468659771080198,0.01733496119420404,0.025193205609928448,45
0.05821597467000562,667,0.19013683010262258,5,0.1776940685711003,0.004674070686991202,0.16736579853673764,,0.02902092295481453,0.017985470003050674,0.024149148100287413,90
